timestamp,front_m,back_m,left_m,right_m,up_m,zrange_m
63219,1.191,2.239,,0.701,,0.308
63269,1.193,,,0.701,,0.304
63319,1.193,,,0.714,,0.307
63369,1.201,,,0.714,,0.304
63419,1.201,,,0.727,,0.309
63469,1.19,,,0.727,,0.305
63519,1.19,,,0.741,,0.304
63569,,1.233,,0.741,,0.309
63619,,1.233,,0.759,,0.308
63669,,1.159,,0.759,,0.304
63719,,1.159,,0.779,,0.306
63769,,1.094,,0.779,,0.306
63819,,1.094,,0.815,,0.307
63869,0.685,1.038,,0.815,,0.307
63919,0.685,1.038,,0.848,,0.306
63969,0.625,0.993,,0.848,,0.31
64019,0.625,0.993,,0.892,,0.306
64069,0.58,0.942,,0.892,,0.307
64119,0.58,0.942,,0.933,,0.304
64169,0.54,0.897,,0.933,,0.304
64219,0.54,0.897,2.796,0.995,,0.304
64269,0.51,0.861,2.796,0.995,,0.303
64319,0.51,0.861,,1.09,,0.305
64369,0.486,0.831,,1.09,,0.305
64419,0.486,0.831,2.698,1.207,,0.305
64469,0.47,0.806,2.698,1.207,,0.31
64519,0.47,0.806,2.6,1.272,,0.308
64569,0.459,0.786,2.6,1.272,,0.305
64619,0.459,0.786,2.539,1.296,,0.307
64669,0.457,0.767,2.539,1.296,,0.308
64719,0.457,0.767,2.505,1.307,,0.304
64769,0.472,0.749,2.505,1.307,,0.301
64819,0.472,0.749,2.447,1.294,,0.301
64869,0.487,0.736,2.447,1.294,,0.301
64919,0.487,0.736,,1.278,,0.303
64969,0.528,0.731,,1.278,,0.303
65019,0.528,0.731,2.379,1.258,,0.304
65069,0.558,0.722,2.379,1.258,,0.3
65119,0.558,0.722,2.351,1.242,,0.301
65169,0.58,0.725,2.351,1.242,,0.301
65219,0.58,0.725,2.338,1.239,,0.298
65269,,0.726,2.338,1.239,,0.296
65319,,0.726,2.336,1.231,,0.297
65369,0.578,0.729,2.336,1.231,,0.298
65419,0.578,0.729,,1.226,,0.293
65469,0.594,0.731,,1.226,,0.3
65519,0.594,0.731,2.331,1.222,,0.295
65569,0.635,0.731,2.331,1.222,,0.298
65619,0.635,0.731,2.307,1.209,,0.297
65669,,0.726,2.307,1.209,,0.299
65719,,0.726,2.304,1.202,,0.299
65769,,0.727,2.304,1.202,,0.3
65819,,0.727,2.294,1.193,,0.299
65869,,0.73,2.294,1.193,,0.296
65919,,0.73,2.295,1.193,,0.298
65969,0.764,0.734,2.295,1.193,,0.296
66019,0.764,0.734,2.295,1.19,,0.298
66069,0.811,0.734,2.295,1.19,,0.295
66119,0.811,0.734,2.292,1.175,,0.299
66169,0.822,0.737,2.292,1.175,,0.298
66219,0.822,0.737,2.272,1.157,,0.297
66269,,0.737,2.272,1.157,,0.298
66319,,0.737,2.254,1.106,,0.299
66369,,0.741,2.254,1.106,,0.301
66419,,0.741,2.265,1.045,,0.301
66469,,0.737,2.265,1.045,,0.301
66519,,0.737,2.249,0.991,,0.304
66569,,0.745,2.249,0.991,,0.3
66619,,0.745,2.25,,,0.3
66669,,0.749,2.25,,,0.299
66719,,0.749,2.256,0.919,,0.3
66769,,0.748,2.256,0.919,,0.299
66819,,0.748,2.245,,,0.297
